frequency-limit,time
81050,5714116308
80390,5771596292
80190,5632118703
80070,5659696831
80230,5724834292
80670,5844873677
80630,5746828415
81000,5774820903
80010,5671521936
81140,5803929828
80700,5742899080
81000,5764049347
80470,5697244384
81550,5803313111
80280,5665426517
81560,5796583328
80640,5689209543
80450,5726824256
80190,5690722560
80580,5747383217
77820,4280966074
105490,4799980415
78070,4335699725
77780,4311452294
77440,4269089037
77840,4310293433
77560,4273789500
77840,4265786259
77540,4275495787
77870,4309595041
77990,4308152128
77750,4267026908
77700,4268748059
78000,4311398080
77650,4282482585
77180,4279126539
77800,4282652189
77970,4317275003
77870,4261398675
77460,4256964879
76310,3418109165
76600,3459943410
77200,3452246464
76410,3418468269
76470,3434424229
76830,3432218887
76840,3444796688
76540,3437283620
76560,3421399335
76450,3424091573
76930,3481309587
76450,3390294574
76420,3428369847
76420,3420547248
76450,3420174959
76180,3422934735
76460,3380589335
76620,3446075303
76390,3425547365
76270,3394268364
81330,2861065053
81370,2841855990
81790,2860266293
81200,2829111887
81360,2863074272
81580,2877423330
81710,2880507161
81310,2856620458
81250,2865021688
81660,2849311452
81270,2858063500
80940,2849495887
81520,2863321410
81150,2857373557
81300,2883751996
81040,2852166447
80990,2836981705
80680,2826094877
81130,2842999268
80890,2849454981
97160,2430987806
97560,2453816670
97290,2425909956
97840,2477658456
97630,2449423124
97300,2437778894
98340,2481895047
97570,2461082386
97450,2431798477
97480,2453319518
97660,2443118966
98180,2458727180
98090,2477685764
97600,2435849638
98080,2447851881
97860,2436833173
101670,2545655983
98180,2451848783
98980,2510969567
97760,2453852448
114740,2152505472
114710,2136094327
115170,2140307276
114800,2137773390
114880,2134075569
115320,2134679990
115590,2154616702
115070,2138811547
115100,2151022311
114950,2136095073
114940,2120204706
115390,2152159088
115060,2138467737
115180,2127767675
115260,2145049054
115000,2131773102
115210,2143896017
114800,2110175905
115240,2137284011
115350,2133215306
80570,5725409302
81010,5787392691
80470,5760392432
80620,5707514726
80770,5864991611
80630,5763133628
80500,5735303853
80020,5655641530
80340,5708629118
81100,5774887671
80540,5737060758
81110,5746487583
81160,5862831918
80440,5752367408
80540,5731695849
80420,5707883089
80620,5757042388
80000,5731522207
80590,5739446769
80490,5718386790
96570,4418354600
93980,4324872860
78010,4328449961
78250,4348300391
77470,4248739628
77650,4287369820
77770,4252295959
78410,4361097823
77920,4368112280
77670,4298290033
77850,4292765930
78050,4314430429
77300,4216476759
78770,4384019693
77820,4252477349
77720,4320663109
77780,4283394199
78940,4398043434
77750,4279286219
77940,4292809861
76140,3393069573
76460,3420071786
76370,3414853864
76770,3446396223
76870,3437422849
76590,3442706871
76290,3386038490
76150,3383374398
76590,3409662906
76620,3422229446
76400,3366296182
76450,3410270125
76690,3433464930
76510,3424104748
76370,3432477480
76540,3421933877
76390,3419483495
76000,3415776363
76490,3421785941
76550,3437318543
81630,2867861247
81510,2845307411
81490,2838626811
81460,2839421934
81540,2844212577
81690,2863834542
81220,2852340527
81180,2840305765
81880,2877260892
81280,2839696425
81380,2875958444
81170,2838857786
81160,2828251145
81610,2903580479
81200,2887729465
80720,2839863345
81110,2843614216
80880,2842740399
80990,2864272827
81360,2888067570
97520,2456242535
97860,2456652479
97730,2457338811
97830,2448360331
97140,2419061488
97800,2459034335
97360,2447955263
97500,2446626953
97520,2433125807
98190,2447349182
97560,2432791067
97750,2467882045
97930,2445821272
97440,2423380480
97810,2468860316
98600,2454247953
98470,2443889287
98070,2466162263
98220,2458012308
97620,2441247311
115000,2149396034
115290,2142901822
114670,2126587522
114940,2147020356
115020,2141885670
115440,2143384719
115070,2145964841
114870,2124191981
116060,2157925816
115010,2139388379
114960,2132761448
115040,2136671620
115380,2137401650
115330,2126726204
115660,2136643116
115010,2123421968
114880,2133696360
115000,2139220244
114950,2131833940
115590,2142365074
